date: 0101~0531			
			
			
Data	wind Velocity (m/s)	wind Direction (o)	Energy capacity (kWh)
01/01 	3.33	185	9633.13
02/01 	2.08	219	0.01
03/01 	4.94	247	18613.12
04/01 	4.09	75	15058.02
05/01 	6.68	206	52680.14
06/01 	3.69	177	14325.65
07/01 	2.58	157	772.92
08/01 	4.69	215	28364.28
09/01 	4.69	210	12835.69
10/01 	7.04	226	57120.49
11/01 	4.96	125	28761.07
12/01 	9.3	190	121406.14
13/01 	12.03	218	207861.58
14/01 	12.2	205	220876.54
15/01 	12.38	224	174748.27
16/01 	7.84	181	54925.34
17/01 	8.83	113	121890.06
18/01 	9.58	52	135357.66
19/01 	7.28	308	34156.7
20/01 	7.36	302	51341.84
21/01 	10.82	292	174184.16
22/01 	6.55	265	46082.01
23/01 	2.95	301	0.01
24/01 	4.16	3	6577.53
25/01 	4.32	65	10211.69
26/01 	4.58	20	1885.93
27/01 	4.52	7	2179.16
28/01 	6.48	255	53733.1
29/01 	14.77	250	293926.56
30/01 	17.54	272	313293.24
31/01 	11.87	300	184396.14
01/02 	8.65	279	86307.57
02/02 	11.4	264	197409.57
03/02 	10.44	310	130812.74
04/02 	9.15	3	69854.95
05/02 	7.59	359	33380.36
06/02 	8.46	15	83975.38
07/02 	8.15	43	132225.25
08/02 	12.18	50	276417.86
09/02 	13.85	65	270642.08
10/02 	6.3	125	41541.19
11/02 	4.75	197	10094.54
12/02 	6.73	194	62522.94
13/02 	12.77	231	258430.09
14/02 	11.84	229	245581.85
15/02 	9.42	274	132592.27
16/02 	8.99	291	103330.07
17/02 	9.38	30	175104.93
18/02 	8.3	68	188478.82
19/02 	6.6	195	50040.27
20/02 	10.51	225	174412.93
21/02 	9.36	309	120638.89
22/02 	8.62	252	125666.65
23/02 	14.01	259	287546.64
24/02 	11.7	280	206208.18
25/02 	10.33	277	170310.64
26/02 	9.2	267	131326.07
27/02 	5.71	297	17913.09
28/02 	9.72	242	168579.82
01/03 	12.38	215	263488.02
02/03 	6.61	243	74728.19
03/03 	3.85	336	8642.89
04/03 	8.3	41	147302.96
05/03 	10.68	77	189686.39
06/03 	3.96	136	14421.6
07/03 	4.14	207	9153.75
08/03 	3.47	303	3670.39
09/03 	5.04	197	18438.53
10/03 	3.83	207	4980.87
11/03 	3.1	213	4520.76
12/03 	6.7	243	45268.75
13/03 	5.75	4	22428.19
14/03 	5.61	21	42739.79
15/03 	4.73	28	30814.79
16/03 	5.15	92	33206.94
17/03 	6.01	80	51947.83
18/03 	8.49	34	143654
19/03 	9.47	45	209038.47
20/03 	11.17	49	274034.79
21/03 	9.58	45	201566.04
22/03 	10	45	236743.73
23/03 	8.09	15	96786.6
24/03 	9.51	356	111570.29
25/03 	7.12	327	35333.48
26/03 	9.25	260	130318.26
27/03 	6.51	259	60813.39
28/03 	6.17	241	47968
29/03 	7.71	229	78656.52
30/03 	7.38	239	82117.9
31/03 	5.03	293	18372.39
01/04 	5.31	56	57517.96
02/04 	6.65	70	78545.09
03/04 	5.29	45	45738.95
04/04 	7.72	64	136967.91
05/04 	7.15	76	86666.56
06/04 	7.46	73	88761.04
07/04 	8.27	83	104332.97
08/04 	7.75	112	80710.81
09/04 	3.33	346	2471.89
10/04 	4.5	231	14815.13
11/04 	3.58	256	5904.42
12/04 	5.37	99	34213.48
13/04 	7.03	82	66993.39
14/04 	6.78	98	43306.85
15/04 	5.48	174	43131.81
16/04 	8.07	220	102511.5
17/04 	5.43	200	21980.31
18/04 	4.82	198	11709.11
19/04 	4.32	278	10483.6
20/04 	4.98	82	26587.13
21/04 	6.81	73	53520.9
22/04 	5.86	207	38131.54
23/04 	4.69	183	7533.51
24/04 	6.53	166	39310.8
25/04 	8.54	186	100210.16
26/04 	7.12	243	59581.97
27/04 	5.59	327	19181.24
28/04 	3.96	91	10130.04
29/04 	5.06	229	21751.72
30/04 	13.23	202	259409.32
01/05 	11.38	207	214874.13
02/05 	13.78	190	251109.21
03/05 	9.7	208	134040.21
04/05 	10.6	165	166821.81
05/05 	9.99	233	165155.34
06/05 	6	236	43041.18
07/05 	7.33	170	64394.55
08/05 	9.98	214	153357.96
09/05 	4.01	189	10529.44
10/05 	4.07	209	5659.31
11/05 	2.86	201	1236.19
12/05 	5.39	202	17720.49
13/05 	8.09	214	87338.05
14/05 	10.11	267	136621.1
15/05 	5.83	329	25011.8
16/05 	5.73	42	60266.15
17/05 	6.53	63	72771.05
18/05 	6.61	9	42120.32
19/05 	5.7	342	13102.83
20/05 	5.78	339	20977.86
21/05 	6.36	34	66108.83
22/05 	6.63	42	106775.32
23/05 	8.36	36	145363.44
24/05 	6.89	41	90820.9
25/05 	6.06	46	83091.95
26/05 	5.47	49	62405.83
27/05 	5.87	49	90904.46
28/05 	6.33	46	58414.28
29/05 	5.06	3	21042.87
30/05 	5	285	19964.23
31/05 	5.56	245	29396.77
